CAPITAL MARKETS:	FIXED INCOME SECURITIES-###-0.2774334205498315---SECURITIES REGULATION-###-0.3676808120598405---FINANCIAL DERIVATIVES-###-0.25412987751142063---
BAYESIAN STATISTICS:	BAYESIAN METH & COMP-###-0.5633456732670711---
DEUTSCHLAND SCHAFFT SICH AB...ODER ERFINDET SICH NEU?:	
MANAG DECSN MAKING:	
CULTURAL PSYCHOLOGY:	
STOCHASTIC PROCESSES:	ACTUARIAL STATISTICS-###-0.3239576600135779---
RESEARCH SEMINAR IN EXPERIMENTS IN CRIME AND JUSTICE:	RESEARCH SEMINAR-###-0.26391015755291997---HONORS THESIS WORKSHOP-###-0.3762053231410644---THESIS WORKSHOP I-###-0.3762053231410644---STSC SEMINAR-###-0.26391015755291997---
2ND YR SPOKEN CHINESE I:	INTER RDG/WRTG CHINESEII-###-0.25536828729852884---2ND YR SPOKEN CHINESE II-###-0.9220906376156438---BEGINNING MOD CHINESE II-###-0.25066056501611134---1ST YR SPOKEN CHINESE II-###-0.32244948859134615---BEG RDG/WRTG CHINESE II-###-0.2730744775005431---1ST YR SPOKEN CHINESE I-###-0.38918192832030946---RDGS MOD CHINESE II:LIT-###-0.30103003216098817---RDGS MOD CHINESE I: LIT-###-0.303598788213014---BEGINNING MOD CHINESE I-###-0.2603469666951002---
MURDERING THE PAST:  SPANISH POST-FRANCO NARRATIVE BY WOMEN:	Culture and Identity of the Lusophone World-###-0.6865532011806712---TOPICS FILM STUDIES: MODERN SCI-FI CINEMA-###-0.28375717493176156---IMMIGRANT URBAN LABOR IN THE U.S.-###-0.3968455749305142---ITALIAN DRAMA AND THE PERFORMANCE OF A NATION-###-0.37969532379417587---The French Novel of the 20th Century-###-0.41266792633358945---Critical Debates in Global Human Rights-###-0.2687834870228938---GEOGRAPHY AND THE NOVEL-###-0.41266792633358945---HUMAN RIGHTS IN THE AGE OF REVOLUTIONS-###-0.30969453662272173---20-21ST CENTURY FRENCH NOVEL-###-0.5105437571555637---PARIS IN FILM-###-0.3571266411514482---TOPICS FILM STUDIES: AMERICAN INDEPENDENTS-###-0.28375717493176156---THE ENLIGHTENMENT-###-0.2673942784178771---WRITING AND REMEMBERING-###-0.4315352643497023---THE ART OF THE INTERVIEW-###-0.4315352643497023---The Glorious "What If?": Writing Speculative Fiction-###-0.4315352643497023---Embodied Writing: A Writing Workshop-###-0.4315352643497023---SPAN FOR MED PROF ELEM 2-###-0.2864765646484103---The Portrayal of Youth in Modern Spanish Literature and Film-###-0.7107950277257573---How a Story Works: The Art of Fiction-###-0.4315352643497023---Sexuality, Terrorism, and Human Rights-###-0.2687834870228938---ELEMENTARY SPANISH II-###-0.2792812982280808---FASHION & IMAGE IN THE AFRICAN DIASPORA-###-0.30969453662272173---French Modernity and Its Discontents-###-0.4714218884892819---TOPICS: FRESHMAN SEMINAR: ITALIAN FOOD CULTURE IN ART, CINEMA AND LITERATURE-###-0.4829704541402612---TOPICS CULTURAL STUDIES: BLACKNESS ACROSS MEDIA-###-0.2720856907302495---TOPICS IN ASIAN AM HIST: Asian Americans and Public History/Memory-###-0.3968455749305142---The US and Human Rights: Policies and Practices-###-0.2595269623485744---APPROACHES TO GENRE: THE END IS COMING: APOCALYPSE IN FILM AND LITERATURE-###-0.33351499007988533---SPAN FOR MED PROF INT 2-###-0.27261224960126823---TPCS IN AFRICANA STUDIES: The History of Women and Men of African Descent at the University of Penn-###-0.27324536088485674---TOPICS: ITALIAN CULTURE: Love in Italian Literature-###-0.5105437571555637---TOPICS GERMAN CINEMA: FRITZ LANG-###-0.28694184085144064---APPROACHES TO GENRE: POETRY OUT LOUD-###-0.33351499007988533---WOMEN IN ITALIAN LITERATURE & CINEMA-###-0.4829704541402612---DANTE'S WORKS-###-0.42095914259995626---CONTEMPORARY NOVEL:  LITERATURE, POLITICS, ECONOMY-###-0.40788815844325305---TOPICS FILM STUDIES: HISTORICAL FILMS-###-0.28375717493176156---THE NOVEL AND MARRIAGE-###-0.3765035091240376---URBANIZATION AND ITS DISCONTENTS-###-0.30969453662272173---Love in Italian Literature-###-0.5105437571555637---WAR & CONQUEST IN MEDIEVAL EUROPE-###-0.30969453662272173---ASIAN AMERICAN COMMUNITIES & POPULAR CULTURE-###-0.3968455749305142---ARCHAEOLOGY OF FICTION-###-0.4315352643497023---THE FANTASTIC VOYAGE FROM HOMER TO SCIENCE FICTION-###-0.3335486871117002---BLACK FRANCE: HISTORY AND REPRESENTATIONS-###-0.4423803148857321---Between Fact and Fiction: Chronicle in LtAm from Span Conquest to 21st Cent-###-0.4049725214374075---CONTEMP BRAZILIAN CINEMA-###-0.6865532011806712---Fiction and Poetry-###-0.4315352643497023---GLOBAL FRANCE-###-0.4423803148857321---The Fantastic Voyage from Homer to Science Fiction-###-0.3335486871117002---ADV JOURNALISTIC WRITING: JOURNALISTIC STORY-TELL.-###-0.28836049931316704---SCIENCE AND LITERATURE-###-0.40788815844325305---THE CITY OF ROME: FROM CONSTANTINE TO THE BORGIAS-###-0.30969453662272173---Iraq and Syria from World War I to ISIS-###-0.30969453662272173---TOPICS IN ANIMATION: THE ANIMATION OF DISNEY-###-0.26764921555191434---ITALIANS IN AMERICAN CINEMA-###-0.28694184085144064---ORAL HISTORY-###-0.30969453662272173---The History of Women and Men of African Descent at the University of Penn-###-0.27324536088485674---MIGRATION AND REFUGEES IN AFRICA-###-0.30969453662272173---ADV JOURNALISTIC WRITING: SCIENCE/TECHNOLGY/SOCIET-###-0.28836049931316704---CAPITALISM AND HUMANITARIANISM-###-0.30969453662272173---THE SEXUAL LIFE OF COLONIALISM: GENDER & SEXUALITY IN THE COLONIAL WORLD-###-0.30969453662272173---TOPICS IN LUSOPHONE CULTURE - SOCIETY AND VISUAL ARTS-###-0.6865532011806712---VIOLENCE AND THE SACRED-###-0.28810345380656643---PLATO AND ARISTOTLE IN THE RENAISSANCE-###-0.3848047336585036---Mexican Conspiracies: Literature & Politics in Contemporary Narrative-###-0.4049725214374075---THE HISTORY OF CHILDREN'S TELEVISION-###-0.26764921555191434---GOVERNING THE WORLD: HIST OF INTERNATIONAL ORGANIZATIONS 1870S-PRESENT-###-0.30969453662272173---LIVING IN SCIENCE FICTION WORLD-###-0.27225448960388426---(HI)STORIES: THE CONTEMPORARY ITALIAN NOVEL-###-0.5105437571555637---TOPICS FILM STUDIES: MARTIN SCORSESE-###-0.28375717493176156---TOPICS IN BRAZILIAN CULT: CONTEMPORARY BRAZILIAN CINEMA: SOCIETY AND REALITY EFFECTS-###-0.6865532011806712---ADAPTATIONS: FROM PAPER TO SCREEN-###-0.4829704541402612---HISTORY, MEMORY, AND NOSTALGIA IN MODERN EUROPE-###-0.30969453662272173---GOD AND NATURE-###-0.30969453662272173---CONTEMPORARY ISSUES IN AMERICAN ANIMATION-###-0.26764921555191434---SPORT, POLITICS AND LITERATURE IN ITALIAN CULTURE AND BEYOND-###-0.5105437571555637---VOICES OF THE MIDDLE EAST: HISTORY THROUGH LITERATURE-###-0.30969453662272173---IMPROVISED CITIES IN THE MODERN WORLD-###-0.30969453662272173---STUDIES IN SPAN CULTURE-###-0.6892999729299761---After Odysseus. On Hospitality in France, North Africa & the Mediterranean-###-0.5634108376279003---Story-Telling in Fiction and Nonfiction-###-0.4315352643497023---WOMEN IN THE MIDDLE EAST: A MODERN HISTORY-###-0.30969453662272173---TOPICS FILM STUDIES: ROMANTIC COMEDY-###-0.28375717493176156---THE WORLD OF WORK-###-0.4315352643497023---WOMEN, CINEMA AND SOCIETY IN FRANCE SINCE 1944-###-0.5494756130754243---FROM PAPER TO SCREEN: CINEMATIC ADAPTATIONS-###-0.4829704541402612---ROME AND THE MARGINS OF MODERNISM-###-0.38361124444359485---Contemporary Fantastic Literature in Latin America-###-0.4049725214374075---TOPICS FILM HISTORY: LIFE IMITATES ART: THEORIES AND FORMS OF AVANT-GARDE CINEMA-###-0.28694184085144064---Topics in Luso-Brazilian Culture: Society and Visual Arts-###-0.4241032773511498---TOPICS FILM STUDIES: FILM FESTIVALS-###-0.28375717493176156---REL&COL RULE IN AFRICA-###-0.30969453662272173---GERMAN CENTURY:1890-1990-###-0.30969453662272173---ASIAN AMERICAN ACTIVISM: Asian American Activism and Organizing-###-0.3144081135301404---Murdering the Past: Women's Narrative in Post-Franco Spain-###-0.4049725214374075---FLORENCE IN HISTORY-###-0.30969453662272173---Antonioni and Fellini: The Challenge of (Post)modernist Cinema-###-0.38361124444359485---The Holocaust - Representation and Silence-###-0.40788815844325305---STORYTELLING IN THE DIGITAL WORLD-###-0.28836049931316704---Coming of Age in Latin America-###-0.4049725214374075---UNOFFICIAL HISTORIES OF THE COLONIAL CARIBBEAN-###-0.30969453662272173---TOPICS IN US HISTORY: JAPANESE/AMER INTERNMENT-###-0.30969453662272173---FEMINISM IN THE AMERICAS-###-0.30969453662272173---CLIMATE-FICTION/CATASTROPHE, AND CULTURAL PRODUCTION-###-0.27225448960388426---Culture and Identity in the Lusophone World-###-0.4241032773511498---Voices & Texts: Music, Literature & Culture in Modern & Contemporary Spain-###-0.7107950277257573---FRESHMAN SEMINAR: REPRESENTING AFRICA-###-0.3335486871117002---POLITICS:  RHETORIC AND POWER IN ITALIAN CULTURE AND BEYOND-###-0.4829704541402612---Food in Italian Culture: From Court Banquets to Food Trucks-###-0.5105437571555637---TOPICS IN ASIAN AMER LIT: ASIAN AMERICAN PROFESSIONALS-###-0.3968455749305142---EXPERIMENTAL CULTURES AND POLITICS IN SPAIN-###-0.6892999729299761---The City: Literary and Visual Tradition-###-0.5105437571555637---Asian American Cinema Movement: Fighting For Representation-###-0.3144081135301404---HISTORY AND THEORY OF ANIMATION-###-0.26764921555191434---Writing and Remembering: A Memoir Workshop-###-0.4315352643497023---
RENAISSANCE EUROPE:	
BEGINNING CLAY: HANDBUILDING AND CASTING TECHNIQUES:	CLAY PRACTICES-###-0.6668566387627795---
HUMANITIES BEYOND HUMAN:	
SCENE STUDY:	Advanced Acting: Scene Study-###-0.7508070740070636---
GIS MAP PLAC & ANALY SPA: GIS MAPPING PLACES & ANALYZING SPACES:	Modeling Geographic Objects-###-0.27906466438160543---GIS APPLICATIONS IN SOCIAL SCIENCE-###-0.41726238180685593---
IRISH LITERATURE: MODERN IRISH LITERATURE:	
ENG ENTREPRENEURSHIP I:	ENG ENTREPRENEURSHIP II-###-0.26752976363471614---
MUSLIM SAINTHOOD PRACTICES:	
PORTRAITS SOV SOCIETY:	PORTRAITS RUSS SOCIETY-###-0.5114420148922595---
INTRO SOIL SCIENCE:	AQUEOUS GEOCHEMISTRY-###-0.25649539390472464---SOIL SCIENCE W LAB-###-0.8695994637264859---
RACE&MED GLOBAL SOUTH:	
French Civ from Beginning to 1789: Penn-in-Tours:	
CLTRL HERITAGE&CONFLICT:	Natural and Cultural Heritage in Global Perspective-###-0.2693901899328381---NAT&CULT HER GLOBAL PERS-###-0.2693901899328381---TPCS: MIDDLE EASTERN ART: From Iconoclasm to ISIS Cultural Cleansing-###-0.2583821220839522---
FNDATIONS OF ENG MATH I:	MATHEMAT METHODS OF PHYS-###-0.4136488034217036---ANALYTICAL METH FOR ENG-###-0.2519259135124946---MATH FOR MATLS SCIENCE-###-0.2631505155011197---CALCULUS FOR WHARTON STU-###-0.3091280408072783---CALCULUS II-###-0.26976597579113387---PRIN & TECH APP MATH-###-0.33642429965643744---
INTRO TO PHILOSOPHY:	
VOICE FOR THE ACTOR:	
SCIENCE IN CONTEXT:	
WORLDS OF INDIAN OCEAN:	TRANSOCEANIC ENCOUNTERS: EAST AFRICA AND THE INDIAN OCEAN-###-0.31236153630066393---
ADULTERY NOVEL:	
WITNESSING THE HOLOCAUST: Witnessing, Remembering, and Writing the Holocaust:	
INTRM MODERN HEBREW III:	ELEM MODERN HEBREW I-###-0.5471039937366667---INTR MODERN HEBREW IV-###-0.7005940028255337---SEM MODERN HEBREW LIT: MANY VOICES OF ISRAEL-###-0.3220916786141612---SEM MODERN HEBREW LIT: GIANTS OF HEBREW LIT-###-0.3220916786141612---ELEM MODERN HEBREW II-###-0.6461514353884213---GOD&NATURE:JEW THGHT&SCI-###-0.27932764808725924---
FRESHMAN SEMINAR: REPRESENTING AFRICA:	Gender, Sexuality and Identity-Contemporary Caribbean Cultural Production-###-0.3335486871117002---CYBORGS, ROBOTS, AND GADGETS: TECHNOLOGIES IN CONTEMPORARY HISPANIC CINEMA-###-0.3335486871117002---ITALIAN DRAMA AND THE PERFORMANCE OF A NATION-###-0.31991098022761344---The French Novel of the 20th Century-###-0.43756652561667436---VIOLENCE AND THE SACRED-###-0.30542784867489053---GEOGRAPHY AND THE NOVEL-###-0.43756652561667436---20-21ST CENTURY FRENCH NOVEL-###-0.2964980577564963---PLATO AND ARISTOTLE IN THE RENAISSANCE-###-0.3242158958155857---Telling It All: Women as Storytellers in Hispanic Fiction-###-0.3335486871117002---DON QUIXOTE NOW AND THEN-###-0.3335486871117002---THE ENLIGHTENMENT-###-0.27847147483770385---(HI)STORIES: THE CONTEMPORARY ITALIAN NOVEL-###-0.2964980577564963---LITERATURE AND DICTATORSHIP IN LATIN AMERICA-###-0.3335486871117002---LITERATURE AND EVERYDAY LIFE IN COLONIAL SPANISH AMERICA-###-0.3335486871117002---Food in Latin American History and Culture-###-0.3335486871117002---GABRIEL GARCIA MARQUEZ AND 20TH-CENTURY LATIN AMERICAN LITERATURE-###-0.3335486871117002---The Portrayal of Youth in Modern Spanish Literature and Film-###-0.27874100839570454---CROSSING BORDERS IN LATIN AMERICAN CINEMA-###-0.3335486871117002---SPORT, POLITICS AND LITERATURE IN ITALIAN CULTURE AND BEYOND-###-0.2964980577564963---TPCS: SPAN/LTAM CINEMA: LATIN AMERICAN FILM-###-0.3335486871117002---BODY AND SOUL:  HISPANIC PERSPECTIVES ON HEALTH, ILLNESS, AND HEALTHCARE-###-0.3335486871117002---Architecture of Latin American Identities-###-0.3335486871117002---21st Century Latin American Literature-###-0.3335486871117002---French Modernity and Its Discontents-###-0.49986544793683946---After Odysseus. On Hospitality in France, North Africa & the Mediterranean-###-0.3484360075084128---MEXICO: REVOLUTION AND CULTURE-###-0.3335486871117002---Modern and Contemporary Spanish Literature: Penn in Madrid-###-0.3335486871117002---APPROACHES TO GENRE: THE END IS COMING: APOCALYPSE IN FILM AND LITERATURE-###-0.26670353966729465---CONTEMPORARY COLOMBIAN LITERATURE:  A HISTORY OF VIOLENCE AND REDEMPTION-###-0.3335486871117002---THERE WILL BE BLOOD: REPRESENTATION OF THE CONQUISTADOR IN LATIN AMERICA-###-0.3335486871117002---Reading Old Spanish: Language in Context-###-0.3335486871117002---CLOISTER, CASTLE AND COURT: MEDIEVAL IBERIAN LITERATURE & ARCHITECTURE-###-0.3335486871117002---Don Quijote Then and Now-###-0.3335486871117002---WOMEN, CINEMA AND SOCIETY IN FRANCE SINCE 1944-###-0.4385423579196435---CONTEMPORARY SPANISH CINEMA-###-0.3335486871117002---TOPICS: ITALIAN CULTURE: Love in Italian Literature-###-0.2964980577564963---APPROACHES TO GENRE: POETRY OUT LOUD-###-0.26670353966729465---DANTE'S WORKS-###-0.29348091939505605---PERSPCT IN FRENCH LIT-###-0.2583432846158847---CONTEMPORARY NOVEL:  LITERATURE, POLITICS, ECONOMY-###-0.34342560196444455---THE NOVEL AND MARRIAGE-###-0.6836020326640875---Love in Italian Literature-###-0.2964980577564963---ROME AND THE MARGINS OF MODERNISM-###-0.3229854062108049---MURDERING THE PAST:  SPANISH POST-FRANCO NARRATIVE BY WOMEN-###-0.3335486871117002---Art & Ideology-Medieval & Early Modrn Iberia: Jews,Christians,Gypsies,Moors-###-0.3335486871117002---To Whom It May Concern: Literary Letters in Latin America-###-0.3335486871117002---MLA Proseminar: Looking for Don Quixote-###-0.3335486871117002---Fictions of Exceptionality in 20th-Century Latin American Literature-###-0.3335486871117002---BLACK FRANCE: HISTORY AND REPRESENTATIONS-###-0.3084151605143272---SPANISH THEATER:  TEXT AND REPRESENTATION-###-0.3335486871117002---DON QUIJOTE THEN AND NOW-###-0.3335486871117002---GLOBAL FRANCE-###-0.3084151605143272---MEXICAN CINEMA-###-0.3335486871117002---The Country, the City and the Borderland in Contemporary Latin American Lit-###-0.3335486871117002---SCIENCE AND LITERATURE-###-0.34342560196444455---Latin American Literature and Pop(ular) Culture-###-0.3335486871117002---Antonioni and Fellini: The Challenge of (Post)modernist Cinema-###-0.3229854062108049---The Holocaust - Representation and Silence-###-0.34342560196444455---PERSPECTVS IN FRENCH LIT-###-0.2583432846158847---DON QUIJOTE: DON QUIJOTE THEN & NOW-###-0.3335486871117002---FREN LIT: LOVE & PASSION-###-0.2583432846158847---STORIES WE TELL: LATIN AMERICA AND THE SHORT STORY-###-0.3335486871117002---Between Fact and Fiction: Chronicle in Lt America from Span Conquest-21st C-###-0.3335486871117002---Reality and Appearance in Golden Age Spain-###-0.3335486871117002---THE SECRET CIRCLE: CRIME & CONSPIRACY FICTIONS IN CONTEMP LT AM LITERATURE-###-0.3335486871117002---Voices & Texts: Music, Literature & Culture in Modern & Contemporary Spain-###-0.27874100839570454---Food in Italian Culture: From Court Banquets to Food Trucks-###-0.2964980577564963---The City: Literary and Visual Tradition-###-0.2964980577564963---Gabriel Garcia Marquez and Latin American Literature-###-0.3335486871117002---LATIN AMERICAN FILM-###-0.3335486871117002---
ARTS@PENN: BUILDING PHILADELPHIA:	MAJOR SEMINAR ON KOREA: Korea in the Age of Empires, 1864-1945-###-0.39311667613599716---MAJOR SEMINAR ON JAPAN: DEBATE,DISSENT,&DISCIPLN-###-0.39746524520314197---TOPICS IN GREEK/ROM ART: ROMAN POLITICAL ART-###-0.7882820132501102---MLA PROSEMINAR: ECO-CRITICISM, SUSTAINABILITY, AND THE HUMANITIES-###-0.28551422597275683---Crime and Punishment:  Hugo's Les Miserables in Context-###-0.2941989472437409---TOPICS IN 19TH CENT ART: IMAGE AND PLACE IN PHILA-###-1.0000000000000002---TOPICS IN 20TH CENT ART: ART OF THE 60'S AND 70'S-###-1.0000000000000002---TOPICS IN CLASSICAL ART: THE LATE ANTIQUE IMAGE-###-0.7882820132501102---TOPICS IN OPIM-###-0.30477937166873253---MAJOR SEMINAR ON JAPAN: JAPAN: REALITY/FANTASY-###-0.39746524520314197---TOPICS IN S. REN ART: WHAT IS PAINTING?-###-1.0000000000000002---TOPICS IN S. REN ART: TERRESTRIAL IMAGINATION-###-1.0000000000000002---FIRST EMPEROR OF CHINA-###-0.40387468386364195---MLA Proseminar: Imagining the World in the Middle Ages-###-0.3913001941378897---TOPICS MEDIEVAL STUDIES: MEDIEVAL PERFORMANCES-###-0.3913001941378897---UNDERGRAD METHODS SEM-###-0.2885196350524837---Major Seminar on Japan: Japan's Others-###-0.39746524520314197---TOPICS IN 20TH CENT ART: DUCHAMP'S OBJECTS: MATTER AND MODERNITY-###-1.0000000000000002---TOPICS IN GREEK/ROM ART: Late Antique Art and Artifact-###-0.7882820132501102---
TOPICS IN PALEOPATHOLOGY:	
STATICS & STRENTH OF MAT:	INTRO TO MECHANICS-###-0.250991550867847---
Introduction to Logic & Computability:	FORMAL LOGIC II-###-0.37932667062335723---
QUANTUM ENGINEERING:	QUANTUM CHEMISTRY I-###-0.28724328049068837---QUANTUM COMP & INF SCI-###-0.28493666875185825---
ADVANCED DIGITAL PHOTO:	DIGITAL PHOTOGRAPHY-###-0.3121767492212591---
FRESHMAN SEMINARS: Diversity, Technology and the Penn Experience:	
NETHERLANDISH ART:	
18TH-C BRIT LIT & CULTR: ENLIGHTENMENT VOYAGES:	
MUSLIMS,CHRISTNS,JEWS:	
NETWRK THEORY & APPLICAT:	
FAMILIES AND RESEARCH:	NURSING OF CHILDREN THEORY I: CHILD AND FAMILY DEVELOPMENT-###-0.3340450009977526---
SOCIAL MEDIA & DATA:	
READING AND WRITING II:	
Forensic Neuroscience:	MOLECULAR IMAGING-###-0.3389756516278476---INTRO TO MED IMAGING-###-0.2936171102274024---FUND TECH OF IMAGING 2-###-0.3450329470508943---FUND TECH OF IMAGING 1-###-0.3500865221317598---NEUROSCIENCE AND SOCIETY-###-0.25785365094590607---HUMAN BRAIN IMAGING: Functional Imaging of the Human Brain-###-0.36891263716855277---
GLOBALIZATION&CORRUPTION:	PHILOSOPHY OF LAW-###-0.27125888596599346---
Creative Nonfiction Writing:	Pop-Fiction for the Literary: Purpose and Practice of Genre Writing-###-0.3995124098178726---Creative Writing for Chemists-###-0.3995124098178726---
INTL RELATNS ANC E.ASIA:	
ETHNOGRAPHY AND MEMORY:	
DIGITAL AUDIO BASICS:	
VALUE CREATION & VAL CAP: Value Creation and Value Capture in American Business History:	
AMERICAN SOCIETY:	
TECH COMM & ACAD WRITING:	
BUSINESS KOREAN I:	ADV BUSINESS KOREAN I-###-0.4438667365576275---ADV RDGS MOD KOREAN I-###-0.3034177464985425---BUSINESS KOREAN II-###-0.5373955315456579---ADVANCED KOREAN II-###-0.2970138168975487---CURRENT KOREAN MEDIA I-###-0.3594910914108786---CURRENT KOREAN MEDIA II-###-0.3310339465001649---ADV BUSINESS KOREAN II-###-0.4989341302697066---BUSINESS COMM IN KOREAN: Business Communication in Korean-###-0.4818888026805609---KOREAN HISTORY & CIV-###-0.27166850229762235---BUSINESS COMM IN KOREAN-###-0.4818888026805609---
Social and Political Epistemology:	EPISTEMOLOGY: KNOWLEDGE AND REALITY-###-0.3012512923533318---
FINANCIAL MELTDOWN, PAST AND PRESENT:	
SUFISM:	GUIDE TO SUFISM S.ASIA: RE-ENCHANTING MODERNITY - A GUIDE TO SUFISM IN SOUTH ASIA-###-0.31462182675069533---
ELEMENTARY SPANISH II:	Gender, Sexuality and Identity-Contemporary Caribbean Cultural Production-###-0.2792812982280808---CYBORGS, ROBOTS, AND GADGETS: TECHNOLOGIES IN CONTEMPORARY HISPANIC CINEMA-###-0.2792812982280808---SPAN FOR MED PROF ELEM 1-###-0.4724066027714684---Telling It All: Women as Storytellers in Hispanic Fiction-###-0.2792812982280808---DON QUIXOTE NOW AND THEN-###-0.2792812982280808---ELEMENTARY SPANISH-###-0.41584607828494496---LITERATURE AND DICTATORSHIP IN LATIN AMERICA-###-0.2792812982280808---LITERATURE AND EVERYDAY LIFE IN COLONIAL SPANISH AMERICA-###-0.2792812982280808---Food in Latin American History and Culture-###-0.2792812982280808---GABRIEL GARCIA MARQUEZ AND 20TH-CENTURY LATIN AMERICAN LITERATURE-###-0.2792812982280808---SPAN FOR MED PROF ELEM 2-###-0.5591577771733397---The Portrayal of Youth in Modern Spanish Literature and Film-###-0.35308551268303634---CROSSING BORDERS IN LATIN AMERICAN CINEMA-###-0.2792812982280808---ELEMENTARY SPANISH I-###-0.257984048445436---ADV SPANISH SYNTAX-###-0.287341215402276---TPCS: SPAN/LTAM CINEMA: LATIN AMERICAN FILM-###-0.2792812982280808---BODY AND SOUL:  HISPANIC PERSPECTIVES ON HEALTH, ILLNESS, AND HEALTHCARE-###-0.2792812982280808---Architecture of Latin American Identities-###-0.2792812982280808---21st Century Latin American Literature-###-0.2792812982280808---STUDIES IN SPAN CULTURE-###-0.3426593924494728---INTERM VIETNAMESE I-###-0.3409992795295998---MEXICO: REVOLUTION AND CULTURE-###-0.2792812982280808---Modern and Contemporary Spanish Literature: Penn in Madrid-###-0.2792812982280808---INTRODUCTION TO HISPANIC LINGUISTICS-###-0.26663035170402244---CONTEMPORARY COLOMBIAN LITERATURE:  A HISTORY OF VIOLENCE AND REDEMPTION-###-0.2792812982280808---THERE WILL BE BLOOD: REPRESENTATION OF THE CONQUISTADOR IN LATIN AMERICA-###-0.2792812982280808---Reading Old Spanish: Language in Context-###-0.2792812982280808---SPAN FOR MED PROF INT 2-###-0.49700003499662787---Spanish Culture and Civilization: Penn-in-Madrid-###-0.254004521840208---CLOISTER, CASTLE AND COURT: MEDIEVAL IBERIAN LITERATURE & ARCHITECTURE-###-0.2792812982280808---Don Quijote Then and Now-###-0.2792812982280808---CONTEMPORARY SPANISH CINEMA-###-0.2792812982280808---ELEM FRENCH: ACCELERATED-###-0.25729970617410275---MURDERING THE PAST:  SPANISH POST-FRANCO NARRATIVE BY WOMEN-###-0.2792812982280808---Advanced Spanish II: Grammar and Composition-###-0.3508824997544756---Art & Ideology-Medieval & Early Modrn Iberia: Jews,Christians,Gypsies,Moors-###-0.2792812982280808---ADV SPAN II: GRMR/COMP-###-0.3802120484828433---To Whom It May Concern: Literary Letters in Latin America-###-0.2792812982280808---MLA Proseminar: Looking for Don Quixote-###-0.2792812982280808---Fictions of Exceptionality in 20th-Century Latin American Literature-###-0.2792812982280808---SPANISH THEATER:  TEXT AND REPRESENTATION-###-0.2792812982280808---DON QUIJOTE THEN AND NOW-###-0.2792812982280808---MEXICAN CINEMA-###-0.2792812982280808---The Country, the City and the Borderland in Contemporary Latin American Lit-###-0.2792812982280808---Latin American Literature and Pop(ular) Culture-###-0.2792812982280808---DON QUIJOTE: DON QUIJOTE THEN & NOW-###-0.2792812982280808---STORIES WE TELL: LATIN AMERICA AND THE SHORT STORY-###-0.2792812982280808---Between Fact and Fiction: Chronicle in Lt America from Span Conquest-21st C-###-0.2792812982280808---Reality and Appearance in Golden Age Spain-###-0.2792812982280808---INTERM VIETNAMESE I & II-###-0.3409992795295998---THE SECRET CIRCLE: CRIME & CONSPIRACY FICTIONS IN CONTEMP LT AM LITERATURE-###-0.2792812982280808---Voices & Texts: Music, Literature & Culture in Modern & Contemporary Spain-###-0.35308551268303634---ELEM SPAN: ACCELERATED-###-0.4207003709652227---EXPERIMENTAL CULTURES AND POLITICS IN SPAIN-###-0.3426593924494728---Gabriel Garcia Marquez and Latin American Literature-###-0.2792812982280808---LATIN AMERICAN FILM-###-0.2792812982280808---
POLARIZATION:	
RELIGIOUS SACRIFICE:	
NUTRITIONAL ANTHROPOLOGY:	FOOD HABITS IN PHILADELPHIA COMMUNITIES-###-0.28526920140873724---ASIAN AMERICAN FOOD-###-0.2664306866983726---FOOD AND FEASTING: ARCHAEOLOGY OF THE TABLE-###-0.3109187531772055---
ON THOUGHTS OCCASIONED BY:	WORLD FILM HIST TO 1945-###-0.2973127212416361---
REVOLUTIONARY AMERICA 1750-1800: POLITICS, WAR AND SOCIETY:	
GREEK & ROMAN MEDICINE:	
