node1,weight,node2
HISTORY OF AMERICAN LAW,0.36930596813625016,ECONOMIC ANALYSIS OF LAW
HISTORY OF AMERICAN LAW,0.2159757778747599,LAW & SOCIETY
HISTORY OF AMERICAN LAW,0.20007782643064273,LAW IN AFRICA
PHILOSOPHY OF ECONOMICS,0.1788264849423255,STRATEGIC REASONING
PHILOSOPHY OF ECONOMICS,0.10471708100861617,ENVIRON. & ENERGY ECON
PHILOSOPHY OF ECONOMICS,0.19495994057458121,EXPERIMENTAL ECONOMICS
PHILOSOPHY OF ECONOMICS,0.11925518885899876,PHIL OF SCIENCE
PHILOSOPHY OF ECONOMICS,0.11893269003350447,PHILOSOPHY OF PHYSICS
PHILOSOPHY OF ECONOMICS,0.11948368020255805,INTERNATIONAL POL. ECON: International Political Economy
PHILOSOPHY OF ECONOMICS,0.10387378295484419,ELEC SYSTEMS & MARKETS
PHILOSOPHY OF ECONOMICS,0.10920051098374897,INT'L COMPARATIVE MGMT.
PHILOSOPHY OF ECONOMICS,0.10275438779634759,STOCHASTIC PROCESSES
PHILOSOPHY OF ECONOMICS,0.1031540529218009,MONETARY ECON & GLOB ECO
INTR NETWRKS & PROTOCOLS,0.24258858547137163,NETWKING THEORY & FUND
INTR NETWRKS & PROTOCOLS,0.11573183021638371,COMP & NETWORK SEC
INTR NETWRKS & PROTOCOLS,0.15120997147249368,UNDERSTAND SOC NETWORKS
FNCE OF BUYOUTS & ACQS,0.10798677289637215,ASP - CORPORATE RESTRUCTURING
FNCE OF BUYOUTS & ACQS,0.1192807684532495,ACCELERATED CORP FINANCE
FNCE OF BUYOUTS & ACQS,0.13509630299044148,CORPORATE FNCE (HALF CU)
FNCE OF BUYOUTS & ACQS,0.10011231362245158,CORP. GOVERNANCE EXEC
FNCE OF BUYOUTS & ACQS,0.12654675146519526,ENTREP THROUGH ACQUIS.: Entrepreneurship through Acquisitions
FNCE OF BUYOUTS & ACQS,0.1508906412381008,CORP DEV: MERG & ACQUIS
FNCE OF BUYOUTS & ACQS,0.12380459654680534,CORPORATE VALUATION
FNCE OF BUYOUTS & ACQS,0.14226690009395873,CORPORATE FINANCE
FNCE OF BUYOUTS & ACQS,0.12775321888946797,Nonprofit Financial Management
FNCE OF BUYOUTS & ACQS,0.15200060675652124,MERGERS & ACQUISITIONS
FNCE OF BUYOUTS & ACQS,0.1459992103506733,SECURITIES REGULATION
FNCE OF BUYOUTS & ACQS,0.11071622392066119,ADV BUSINESS CHINESE II
FNCE OF BUYOUTS & ACQS,0.1016771378162698,INT PROP&BUS LAW FOR ENG
FNCE OF BUYOUTS & ACQS,0.10825205600450948,Private Equity in Emerging Markets
FNCE OF BUYOUTS & ACQS,0.13294575139932352,MNG STRAT PARTNERSHIPS: Managing Strategic Partnerships
FNCE OF BUYOUTS & ACQS,0.12963731371829018,ADVANCED CORP FINANCE
Digital Marketing and Electronic Commerce,0.2966279513097676,Digital Marketing Social Media and E-Commerce
Digital Marketing and Electronic Commerce,0.12904280529003914,LECTURE
Digital Marketing and Electronic Commerce,0.12388316154952671,ENERGY ENGINEERING
INTRODUCTORY STATISTICS,0.24393744247682259,DATA ANALY & STAT COMP: Data Analytics and Statistical Computing
INTRODUCTORY STATISTICS,0.12394111178700114,STATISTICAL MECHANICS
INTRODUCTORY STATISTICS,0.14561114691508,QUANTITATIVE METHODS I
INTRODUCTORY STATISTICS,0.37740682377087714,ENGR APPLIC OF STATISTIC
INTRODUCTORY STATISTICS,0.17690056655380948,DISCRETE PROB & STAT INF
INTRODUCTORY STATISTICS,0.12341900487870461,STATISTICAL METHODOLOGY
INTRODUCTORY STATISTICS,0.11389731701357174,INTRO TO PROB & STAT
INTRODUCTORY STATISTICS,0.23223907621117243,PROB&STATS FOR BIOT
INTRODUCTORY STATISTICS,0.12318778572042276,STATISTICAL INFERENCE
INTRODUCTORY STATISTICS,0.20663072304515678,BIOL DATA SCIENCE I
INTRODUCTORY STATISTICS,0.10459900527072222,ESTIMATION & DETEC THRY
INTRODUCTORY STATISTICS,0.10661145695323715,APPLIED ECONOMETRICS I
INTRODUCTORY STATISTICS,0.32357033737735713,INTRO BUSINESS STAT
INTRODUCTORY STATISTICS,0.10360209543021878,DES&DEV WEB-BASED PROD: DESIGN & DEVELOPMENT OF WEB-BASED PRODUCTS AND SERVICES
INTRODUCTORY STATISTICS,0.1460068200603951,SOCIAL STATISTICS
INTRODUCTORY STATISTICS,0.12709392005409337,ANAL METH ECON LAW MED
INTRODUCTORY STATISTICS,0.2118776838193018,INTRODUCTION TO QUANTITATIVE METHODS FOR POLICY ANALYSIS
INTRODUCTORY STATISTICS,0.3203804978084776,STAT FOR ECONOMISTS
INTRODUCTORY STATISTICS,0.1596390290197877,APPLIED ECONOMETRICS II
ENGINEERING ECONOMICS,0.11570655747623147,REAL ESTATE DEVELOPMENT
ENGINEERING ECONOMICS,0.10484229989086574,INTRODUCTORY STATISTICS
ENGINEERING ECONOMICS,0.11695491125251073,LIVING WORLD IN ARCHAEOLOGICAL SCIENCE
ENGINEERING ECONOMICS,0.14739887147232317,ENGR APPLIC OF STATISTIC
ENGINEERING ECONOMICS,0.10385883211985436,INDUSTRIAL DESIGN I
ENGINEERING ECONOMICS,0.12862584007958577,MACROECN & GLOBAL ECONOM
ENGINEERING ECONOMICS,0.12468506873627325,THE MATERIAL WORLD IN ARCHAEOLOGICAL SCIENCE
ENGINEERING ECONOMICS,0.10946097179683115,CORPORATE FINANCE
ENGINEERING ECONOMICS,0.1123776850372438,BIOMED IMAGE ANALYSIS
ENGINEERING ECONOMICS,0.15421246104736042,MONETARY ECON & GLOB ECO
ENGINEERING ECONOMICS,0.10913936786305797,GAME THEORY
ENGINEERING ECONOMICS,0.11604165865447702,VENT CAP & FNCE INNOVAT
ENGINEERING ECONOMICS,0.1094291614892702,ENGINEERING ETHICS
ENGINEERING ECONOMICS,0.10057267815267919,REAL ESTATE INVESTMENTS
ENGINEERING ECONOMICS,0.12315320398279164,CONTROL OF SYSTEMS
ENGINEERING ECONOMICS,0.108964466270446,APPLIED ECONOMETRICS II
ENGINEERING ECONOMICS,0.1296560174906818,TAXES AND BUS STRATEGY
NARRATIVE ACROSS CULTURES,0.10050094825044754,INTRO LITERARY ANALYSIS
NARRATIVE ACROSS CULTURES,0.1089203277645428,HANDSCHRIFT-HYPERTEXT
NARRATIVE ACROSS CULTURES,0.10829197050048306,VIDEO I
ACCELERATED INTERMD GRMN,0.12263407929115507,ADVANCED PORTUGUESE
ACCELERATED INTERMD GRMN,0.4038366938113162,ACCELERATED ELEM GERMAN
ACCELERATED INTERMD GRMN,0.11415473295647599,ADVANCED PROFICIENCY II
ACCELERATED INTERMD GRMN,0.6527174367146849,INTERMEDIATE GERMAN I
ACCELERATED INTERMD GRMN,0.11026539403581893,ELEM VIETNAMESE I
ACCELERATED INTERMD GRMN,0.10508823403041527,ELEMENTARY TURKISH I
ACCELERATED INTERMD GRMN,0.10072117236206861,INTERMEDIATE SPANISH II
ACCELERATED INTERMD GRMN,0.14956663375834844,ADVANCED SPANISH
ACCELERATED INTERMD GRMN,0.10543612715799239,INTERMED PERSIAN I
ACCELERATED INTERMD GRMN,0.11054211321116995,ELEM TURKISH II
ACCELERATED INTERMD GRMN,0.5197314564074565,INTERMEDIATE GERMAN II
ACCELERATED INTERMD GRMN,0.12955252247520774,ELEMENTARY LATIN I
ACCELERATED INTERMD GRMN,0.22776318595068232,ELEMENTARY GERMAN II
ACCELERATED INTERMD GRMN,0.10068185913162542,ELEMENTARY SPANISH I
ACCELERATED INTERMD GRMN,0.10309779510594339,JEWISH FOLKLORE
ACCELERATED INTERMD GRMN,0.12446802062389321,INTERMED PERSIAN II
ACCELERATED INTERMD GRMN,0.2904838909753935,INTERMED INDONESIAN II
ACCELERATED INTERMD GRMN,0.10731872408208065,PORTRAITS RUSS SOCIETY
BIG DATA BIG RESP.,0.1056422037364987,SOCIAL STRATIFICATION
BIG DATA BIG RESP.,0.11365660720334739,DATA SCIENCE
INTERMEDIATE GERMAN I,0.10910799952191177,ADVANCED PORTUGUESE
INTERMEDIATE GERMAN I,0.1056231740099973,ELEM TURKISH II
INTERMEDIATE GERMAN I,0.10431270878348681,TECH COMM & ACAD WRITING
INTERMEDIATE GERMAN I,0.37234174108098,INTERMEDIATE GERMAN II
INTERMEDIATE GERMAN I,0.10582111247095377,ELEMENTARY LATIN I
INTERMEDIATE GERMAN I,0.24604323865407982,ELEMENTARY GERMAN II
INTERMEDIATE GERMAN I,0.12364549344952873,HANDSCHRIFT-HYPERTEXT
INTERMEDIATE GERMAN I,0.1189862936601628,INTERMEDIATE YIDDISH II
INTERMEDIATE GERMAN I,0.11355166861001499,ELEMENTARY SPANISH I
INTERMEDIATE GERMAN I,0.13709248842149593,INTERMED PERSIAN II
INTERMEDIATE GERMAN I,0.11128061230824719,ELEM VIETNAMESE I
INTERMEDIATE GERMAN I,0.2434658895526572,INTERMED INDONESIAN II
INTERMEDIATE GERMAN I,0.1433319082110644,ADVANCED SPANISH
INTERMEDIATE GERMAN I,0.117236667555315,INTERMED PERSIAN I
RISK ANALY & ENV MGMT: Risk Analysis and Environmental Management,0.14640902550120835,LAW IN AFRICA
RISK ANALY & ENV MGMT: Risk Analysis and Environmental Management,0.11213352520986586,BIOCHEMISTRY RESEARCH
RISK ANALY & ENV MGMT: Risk Analysis and Environmental Management,0.14640902550120835,The US and Human Rights: Policies and Practices
SOC. OF MEDIA & POP CULT: Sociology of Media and Popular Culture,0.1448741529573442,ADVANCED WRITING PROJECTS IN THE ARTS AND POPULAR CULTURE
SOC. OF MEDIA & POP CULT: Sociology of Media and Popular Culture,0.1328221106150545,COMMUNICATION BEHAVIOR
SOC. OF MEDIA & POP CULT: Sociology of Media and Popular Culture,0.10107339415206856,AMERICAN FOLKLORE
SOC. OF MEDIA & POP CULT: Sociology of Media and Popular Culture,0.1251230831121044,TELEVISION AND NEW MEDIA
SOC. OF MEDIA & POP CULT: Sociology of Media and Popular Culture,0.11179993965741909,LAW AND SOCIAL CHANGE
SOC. OF MEDIA & POP CULT: Sociology of Media and Popular Culture,0.1122985468728353,AR RDGS SOC SCI
SOC. OF MEDIA & POP CULT: Sociology of Media and Popular Culture,0.12041418075225023,ELEC SYSTEMS & MARKETS
SOC. OF MEDIA & POP CULT: Sociology of Media and Popular Culture,0.16601468615928555,CULTURE CONSUMPTION AND PRODUCTION IN THE GLOBAL MARKETPLACE
SOC. OF MEDIA & POP CULT: Sociology of Media and Popular Culture,0.15897157273567122,SPORTS BUSINESS MGMT
SOC. OF MEDIA & POP CULT: Sociology of Media and Popular Culture,0.1104157159997669,JAPANESE POPULAR CULTURE
SOC. OF MEDIA & POP CULT: Sociology of Media and Popular Culture,0.15950129654972423,ADVERTISING AND SOCIETY
SOC. OF MEDIA & POP CULT: Sociology of Media and Popular Culture,0.11999149924807134,DEVIANCE & SOC CONTROL
SOC. OF MEDIA & POP CULT: Sociology of Media and Popular Culture,0.12296729648624741,MEDIA AND RELIGION
SOC. OF MEDIA & POP CULT: Sociology of Media and Popular Culture,0.7712362087254405,SOC. OF MEDIA & POP CULT
SOC. OF MEDIA & POP CULT: Sociology of Media and Popular Culture,0.1122985468728353,MEDIA ARABIC
SOC. OF MEDIA & POP CULT: Sociology of Media and Popular Culture,0.14298254331897,SOCIAL PROB & PUB POLICY: Social Problems & Public Policy
SOC. OF MEDIA & POP CULT: Sociology of Media and Popular Culture,0.106793249055968,MODERN JAPANESE HISTORY
SOC. OF MEDIA & POP CULT: Sociology of Media and Popular Culture,0.12159374692711575,WORK AND IDENTITY
SOC. OF MEDIA & POP CULT: Sociology of Media and Popular Culture,0.10158875727246372,Asian Americans in Contemporary Society
SOC. OF MEDIA & POP CULT: Sociology of Media and Popular Culture,0.1555421967696754,INTERFACING CULTURES: DESIGNING FOR MOBILE WEB AND PUBLIC MEDIA
INTRODUCTION TO ISLAM,0.10263709538335569,SOCIOLOGY OF GENDER
INTRODUCTION TO ISLAM,0.10005552404110334,WORLD MUSICS & CULTURES
INTRODUCTION TO ISLAM,0.12563316721989312,CROSS CULTRL APPR HEALTH
INTRODUCTION TO ISLAM,0.10553958747297376,SCRIMMAGE OVER SCRIPTURE: Bible in the Cultures of Jews Christians and Muslims
INTRODUCTION TO ISLAM,0.11745795156901351,MEDIA AND RELIGION
INTRODUCTION TO ISLAM,0.103192552081752,MODERN JAPANESE HISTORY
INTRODUCTION TO ISLAM,0.13824782421851226,Spanish Surrealism:  The Works of Salvador Dali
INTRODUCTION TO ISLAM,0.2562498635958768,ISLAM IN MODERN WORLD
INTRODUCTION TO ISLAM,0.1977908748993788,INTRO VIS CULT ISLAM WLD
CREAT.NON-FICTION WRIT: CREATIVE NONFICTION,0.10603888939134176,PRINCIPLES OF ADVERTISNG
CREAT.NON-FICTION WRIT: CREATIVE NONFICTION,0.18392600080202712,ADVANCED WRITING PROJECTS IN THE ARTS AND POPULAR CULTURE
CREAT.NON-FICTION WRIT: CREATIVE NONFICTION,0.10743206757782824,POETRY WRITING WORKSHOP
CREAT.NON-FICTION WRIT: CREATIVE NONFICTION,0.12073635269539261,CONFLICT LAW AND JUSTICE IN EARLY AMERICA: CROSS-CULTURAL APPROACHES
CREAT.NON-FICTION WRIT: CREATIVE NONFICTION,0.10636037405965135,JAPANESE POPULAR CULTURE
CREAT.NON-FICTION WRIT: CREATIVE NONFICTION,0.16935583246759553,THE ARTS & POPULAR CULT.
CREAT.NON-FICTION WRIT: CREATIVE NONFICTION,0.16237752636732564,ADVERTISING AND SOCIETY
CREAT.NON-FICTION WRIT: CREATIVE NONFICTION,0.16935583246759553,THE ARTS & POPULAR CULT.: THE ARTS AND POPULAR CULTURE:  BOB DYLAN
ANONYMOUS:  HISTORY'S MOST PROLIFIC COMPOSER,0.10674961549775827,WORLD MUSICS & CULTURES
ANONYMOUS:  HISTORY'S MOST PROLIFIC COMPOSER,0.11414177132679496,1000 YRS MUSICAL LISTENG
ANONYMOUS:  HISTORY'S MOST PROLIFIC COMPOSER,0.12378801719161953,JAZZ STYLE AND HISTORY
ANONYMOUS:  HISTORY'S MOST PROLIFIC COMPOSER,0.12378801719161953,JAZZ:STYLE & HISTORY
THE MATERIAL WORLD IN ARCHAEOLOGICAL SCIENCE,0.13375713346051643,MATERIALS SELECTION
THE MATERIAL WORLD IN ARCHAEOLOGICAL SCIENCE,0.5604727308459467,LIVING WORLD IN ARCHAEOLOGICAL SCIENCE
THE MATERIAL WORLD IN ARCHAEOLOGICAL SCIENCE,0.20074454825010635,ARCHAEOMETALLURGY SEMINAR
THE MATERIAL WORLD IN ARCHAEOLOGICAL SCIENCE,0.1481752328680563,INTRO TO ARCHAEOLOGY
THE MATERIAL WORLD IN ARCHAEOLOGICAL SCIENCE,0.10075529030394566,ELECTROCHEM ENG OF MATLS
THE MATERIAL WORLD IN ARCHAEOLOGICAL SCIENCE,0.1859295678992621,INTRO ARCHAEOLOGY
THE MATERIAL WORLD IN ARCHAEOLOGICAL SCIENCE,0.12268706457479028,Petrography of Cultural Materials
THE MATERIAL WORLD IN ARCHAEOLOGICAL SCIENCE,0.10388424616662366,STRUCTURAL MATERIALS
THE MATERIAL WORLD IN ARCHAEOLOGICAL SCIENCE,0.10447576799259865,INTRO NANOSCALE MATL
THE MATERIAL WORLD IN ARCHAEOLOGICAL SCIENCE,0.1481752328680563,INTRODUCTION ARCHAEOLOGY
THE MATERIAL WORLD IN ARCHAEOLOGICAL SCIENCE,0.1481752328680563,INTRO TO ARCHAEOLOGY: LECTURE
THE MATERIAL WORLD IN ARCHAEOLOGICAL SCIENCE,0.15704740026142067,PLANTS AND SOCIETY
THE MATERIAL WORLD IN ARCHAEOLOGICAL SCIENCE,0.16016067251814456,MATERIALS IN MECH DESIGN
THE MATERIAL WORLD IN ARCHAEOLOGICAL SCIENCE,0.1069040502069137,GREAT DISCOV ARCHAEOLOGY
THE MATERIAL WORLD IN ARCHAEOLOGICAL SCIENCE,0.1859295678992621,ARCHAEOLOGY: WINDOW TO THE HUMAN PAST
THE MATERIAL WORLD IN ARCHAEOLOGICAL SCIENCE,0.1481752328680563,INTRO ARCHAEOLOGY: LECTURE
THE MATERIAL WORLD IN ARCHAEOLOGICAL SCIENCE,0.16848709437835968,MATERIAL PAST DIG WORLD
THE MATERIAL WORLD IN ARCHAEOLOGICAL SCIENCE,0.13008892909307998,NANO-SCALE MATERIALS LAB
THE MATERIAL WORLD IN ARCHAEOLOGICAL SCIENCE,0.11198933364306461,THE PAST PRESERVED: CONSERVATION IN ARCHAEOLOGY
Environmental Humanities: Theory Method Practice,0.18252460994392036,ENVIRONMENTAL CASE STUDIES
Environmental Humanities: Theory Method Practice,0.11267971145172109,GIS DIG HUM SOC SCI
Environmental Humanities: Theory Method Practice,0.11917193142234181,GEOCHEMISTRY
Environmental Humanities: Theory Method Practice,0.295140378016553,PUBLIC ENVIRONMENTAL HUMANITIES
Environmental Humanities: Theory Method Practice,0.10254072546718199,RES METHODS/PRAC IN IR
Environmental Humanities: Theory Method Practice,0.10517211497765075,INTRO ARCHAEOLOGY
Environmental Humanities: Theory Method Practice,0.2341716348765478,ARCHITECTURE IN THE ANTHROPOCENE
Environmental Humanities: Theory Method Practice,0.10064257926101426,BIOREMEDIATION
Environmental Humanities: Theory Method Practice,0.10517211497765075,ARCHAEOLOGY: WINDOW TO THE HUMAN PAST
Environmental Humanities: Theory Method Practice,0.12541837913855722,E. A. DIGITAL HUMANITIES
Environmental Humanities: Theory Method Practice,0.2263140157208562,ENVIRONMENTAL HISTORY
Environmental Humanities: Theory Method Practice,0.11426591065029788,INTRO LIGHTSETCOSTUME
Environmental Humanities: Theory Method Practice,0.15540663527668516,DOING RESEARCH: DOING RESEARCH: QUALITATIVE METHODS AND RESEARCH DESIGN
Environmental Humanities: Theory Method Practice,0.10443244718846272,FIELD METH OF SOC RES
Environmental Humanities: Theory Method Practice,0.19648837838019384,INTRO DIGITAL HUMANITIES
Environmental Humanities: Theory Method Practice,0.19648837838019384,INTRO DIGITAL HUMANITIES: COMPUTING FOR INTERPRETATION IN THE HUMANITIES
PHIL OF MATH: Philosophy of Mathematics,0.11808894642603834,PHILOSOPHY OF MIND: Artificial Intelligence
PHIL OF MATH: Philosophy of Mathematics,0.1017922355192374,TOPICS IN ETHICS
PHIL OF MATH: Philosophy of Mathematics,0.16412414297250927,TOPICS IN LOGIC
PHIL OF MATH: Philosophy of Mathematics,0.13861541700057092,MATH IN AGE OF INFO: Math in the Media
PHIL OF MATH: Philosophy of Mathematics,0.12127238045758401,MATH FOR MATLS SCIENCE
PHIL OF MATH: Philosophy of Mathematics,0.13533708809642278,FORMAL LOGIC I
PHIL OF MATH: Philosophy of Mathematics,0.12080028888480948,ADVANCED DESIGN
WORLD MUSICS & CULTURES,0.12893204610012024,MUSIC AND PERF OF AFRICA
WORLD MUSICS & CULTURES,0.16225299985874703,WRITING SEMINAR IN MUSC: THE TUNING OF THE WORLD
WORLD MUSICS & CULTURES,0.1047133607541496,INTERMED PORTUGUESE II
WORLD MUSICS & CULTURES,0.13629164353347498,BEGINNING TABLA I
WORLD MUSICS & CULTURES,0.12414101392964091,THE ARTS & POPULAR CULT.
WORLD MUSICS & CULTURES,0.1458213522093129,ENSEMBLE PERFORMANCE: UNIV. WIND ENSEMBLE
WORLD MUSICS & CULTURES,0.10341232665095602,ACCEL INTERMD PORTUGUESE
WORLD MUSICS & CULTURES,0.22259930596848596,PERFORMING ARTS IN SOUTH ASIA
WORLD MUSICS & CULTURES,0.12688403106722002,CULTURE CONSUMPTION AND PRODUCTION IN THE GLOBAL MARKETPLACE
WORLD MUSICS & CULTURES,0.11852679778900461,TOPICS - MODERNISM: BECKETT AND KAFKA
WORLD MUSICS & CULTURES,0.12090718003970559,BEGINNING SITAR I
WORLD MUSICS & CULTURES,0.11745895262793277,COLLEGE MUSIC PROGRAM
WORLD MUSICS & CULTURES,0.238942403053528,SEMINARS IN THRY & COMP
WORLD MUSICS & CULTURES,0.12414101392964091,THE ARTS & POPULAR CULT.: THE ARTS AND POPULAR CULTURE:  BOB DYLAN
WORLD MUSICS & CULTURES,0.1164288356387167,MEDIA AND RELIGION
WORLD MUSICS & CULTURES,0.41132954304893843,1000 YRS MUSICAL LISTENG
WORLD MUSICS & CULTURES,0.1250433484325731,THE ENTERPRISING MUSICIAN AND ARTIST
WORLD MUSICS & CULTURES,0.11898467012057734,EMERGENCE OF MODERN SCI
WORLD MUSICS & CULTURES,0.11373318716637866,ERAS & TPCS: LTR PERIODS
WORLD MUSICS & CULTURES,0.132231773441479,MUSIC OF SOUTH & SE ASIA
INQUIRY AND NURSING,0.1010218675908074,PRINCIPLES OF ADVERTISNG
INQUIRY AND NURSING,0.12064671634210483,WRITING SEMINAR IN MUSC: THE TUNING OF THE WORLD
INQUIRY AND NURSING,0.1203938048360798,WRITING SEMINAR IN STSC: SEXUAL SELECTION
INQUIRY AND NURSING,0.13520064172958024,WRITING SEMINAR IN ENGL: COMICS & GRAPHIC NOVELS
INQUIRY AND NURSING,0.13231207406224715,WRITING SEMINAR IN CIMS: OUR ANIMALS OURSELVES
INQUIRY AND NURSING,0.11599892139395311,RESEARCH/INQUIRY-BASED SERVICE RESIDENCY
INQUIRY AND NURSING,0.14297652993286936,PROSEMINAR IN NURSING INNOVATION
INQUIRY AND NURSING,0.13231207406224715,WRITING SEMINAR IN CINE: PSYCHO: A CASE HISTORY
INQUIRY AND NURSING,0.12949867290625444,WRITING SEMINAR IN EAS: ART OF ENGINEERING
INQUIRY AND NURSING,0.1203938048360798,WRITING SEMINAR IN STSC: GEEK HERESY
INQUIRY AND NURSING,0.13321384175106352,WRITING SEMINAR IN PHIL: DIGITAL ART
INQUIRY AND NURSING,0.12976909022540947,WRITING SEMINAR IN COML: CAPITALIST SUPERHEROES
INQUIRY AND NURSING,0.10338547132781477,SCIENTIFIC INQUIRY FOR EVIDENCE-BASED PRACTICE
INQUIRY AND NURSING,0.12447986301673918,CRITICAL WRITING SEMINAR: EINSTEIN & PICASSO
INQUIRY AND NURSING,0.13038572797194714,WRITING SEMINAR IN COMM: MARKETING LIKES
INQUIRY AND NURSING,0.12976909022540947,WRITING SEMINAR IN COML: BORGES'S SHORT FICTION
INQUIRY AND NURSING,0.13036947245826708,WRITING SEMINAR IN URBS: A WORLD OF CITIES
INQUIRY AND NURSING,0.12780321437881384,WRITING SEMINAR IN CLST: CLASSICAL MYTHOLOGY
INQUIRY AND NURSING,0.11280430886123474,MODERN JAPANESE HISTORY
INQUIRY AND NURSING,0.11455240511729156,WRITING SEMINAR IN ANTH: GLOBAL DEVELOPMENT &NGOS
INQUIRY AND NURSING,0.11455240511729156,WRITING SEMINAR IN ANTH: PHILANTHROPY/DISCONTENTS
INQUIRY AND NURSING,0.1203938048360798,WRITING SEMINAR IN STSC: MARINE ECOLOGIES
INQUIRY AND NURSING,0.1433001488915092,TOPICS IN LITERATURE: EMOTIONS
INQUIRY AND NURSING,0.12380587115034845,WRITING SEMINAR IN EDUC: NATION OF IMMIGRANTS
MEDICAL DEVICES,0.11875832720505344,ELEC PHOT ELECTR DEV
MEDICAL DEVICES,0.1034762471568171,DESIGN FOR MANUF
MEDICAL DEVICES,0.10684670315461312,DIG INTEG CIRC&VLSI-FUND
MEDICAL DEVICES,0.13087199857941895,BIOENG CASE STUDIES
MEDICAL DEVICES,0.12800982141104575,SPAN FOR MED PROF INT I
MEDICAL DEVICES,0.11870754491309937,LECTURE
MEDICAL DEVICES,0.12329029731169631,INDUSTRIAL DESIGN I
INTERNATIONAL ECONOMICS,0.11735448218998286,PHARMA & GLOBAL HEALTH
INTERNATIONAL ECONOMICS,0.13621839895880322,AMERICAN CAPITALISM
INTERNATIONAL ECONOMICS,0.13267952660206503,CHINESE FOREIGN POLICY
INTERNATIONAL ECONOMICS,0.294615414638002,INTERNATIONAL POL. ECON: International Political Economy
INTERNATIONAL ECONOMICS,0.11625193410595176,CORPORATE FINANCE
INTERNATIONAL ECONOMICS,0.1459831184025497,INTERMED MACROECONOMICS
INTERNATIONAL ECONOMICS,0.17590713254569773,INTRODUCTION TO MICRO ECONOMICS
INTERNATIONAL ECONOMICS,0.17590713254569773,INTRO TO MICROECONOMICS
INTERNATIONAL ECONOMICS,0.1978321102068041,MACROECONOMICS (HALF CU)
INTERNATIONAL ECONOMICS,0.13362191786415162,SENIOR SEMINAR
INTERNATIONAL ECONOMICS,0.2362201129033896,MULTINATIONAL MANAGEMENT
INTERNATIONAL ECONOMICS,0.11507739646120954,INTERNATIONAL BANKING
INTERNATIONAL ECONOMICS,0.29326021955497833,MONETARY ECON & GLOB ECO
INTERNATIONAL ECONOMICS,0.16451600593356677,GAME THEORY
CREATIVE WRITING: INTRODUCTION TO CREATIVE WRITING:  CREATIVE NONFICTION AND POETRY,0.14903827525244107,CONTEMP BRAZILIAN CINEMA
CREATIVE WRITING: INTRODUCTION TO CREATIVE WRITING:  CREATIVE NONFICTION AND POETRY,0.10080582997624467,ADVANCED WRITING PROJECTS IN THE ARTS AND POPULAR CULTURE
CREATIVE WRITING: INTRODUCTION TO CREATIVE WRITING:  CREATIVE NONFICTION AND POETRY,0.15686796672824657,TOPICS GERMAN CINEMA: FRITZ LANG
CREATIVE WRITING: INTRODUCTION TO CREATIVE WRITING:  CREATIVE NONFICTION AND POETRY,0.1167897206125683,INTRO POSTCOLONIAL LIT: SOUTH AFRICAN LIT/FILM
CREATIVE WRITING: INTRODUCTION TO CREATIVE WRITING:  CREATIVE NONFICTION AND POETRY,0.10218952140454422,WRITING SEMINAR IN STSC: SEXUAL SELECTION
CREATIVE WRITING: INTRODUCTION TO CREATIVE WRITING:  CREATIVE NONFICTION AND POETRY,0.1956855636537139,MLA Proseminar: Looking for Don Quixote
