TRUTH, POLITICS, ETHICS: ANTHROPOLOGICAL SEMINAR:	TOPICS IN ETHICS 0.15585828721390835,INTRO CULTURAL ANTHRO 0.10696044756418209,INTRO TO MED ANTHRO 0.12037345827576165,INTRO TO MED ANTHRO 0.12037345827576165,INTRO PALEOPATHOLOGY 0.1029913860463615,ETHICS IN THE PROFESSION: BUSINESS ETHICS 0.11203508042079884,
DATA ANALY & STAT COMP: Data Analytics and Statistical Computing:	INTRODUCTORY STATISTICS 0.1991790229738088,INT TO NONP & LOGLIN MOD 0.19429052524076124,RES METHODS/PRAC IN IR 0.14677375087897357,STATISTICAL MECHANICS 0.14120238758522025,DATABASE & INFO SYSTEMS 0.12129905162013752,BAYESIAN METH & COMP 0.17469077627661422,QUANTITATIVE METHODS I 0.15819888934087672,DATABASE & INFO SYSTEMS 0.12129905162013752,INTRO TO COMPUTATIONAL BIOLOGY & BIOLOGICAL MODELING 0.1292275016506628,ENGR APPLIC OF STATISTIC 0.16249161310147506,INTRODUCTORY STATISTICS 0.24203556406603038,DATA SCIENCE 0.2667032697681616,DISCRETE PROB & STAT INF 0.16402312157925653,STATISTICAL METHODOLOGY 0.2404070597350922,INTRODUCTORY STATISTICS 0.24203556406603038,GIS APPLICATIONS IN SOCIAL SCIENCE 0.10099656782164695,PYTHON PROG 0.113321391541772,PROB&STATS FOR BIOT 0.15164021919905074,MODERN DATA MINING 0.1385839349340137,BIOL DATA SCIENCE I 0.20434515596670225,GIS APPLICATIONS IN SOCIAL SCIENCE 0.10099656782164695,DATABASE & INFO SYSTEMS 0.12129905162013752,APPLIED REG & ANALY VAR 0.11822731505753191,ESTIMATION & DETEC THRY 0.16191950932324903,INTRO SCIENTIFIC COMP 0.13293296523370754,APPLIED ECONOMETRICS I 0.1645966555291368,INTR TO SPATIAL ANALYSIS 0.1856681559508344,INTERNET & WEB SYSTEMS 0.10415648216035274,BUSINESS COMP LANGUAGES 0.12568537402872165,INTRO BUSINESS STAT 0.36096432859740835,DES&DEV WEB-BASED PROD: DESIGN & DEVELOPMENT OF WEB-BASED PRODUCTS AND SERVICES 0.1311262705970391,SOCIAL STATISTICS 0.19139965157712827,INTRODUCTION TO QUANTITATIVE METHODS FOR POLICY ANALYSIS 0.2370727348316273,ADV STAT FOR MGMT 0.1385839349340137,ENGR APPLIC OF STATISTIC 0.16249161310147506,DATABASE & INFO SYSTEMS 0.12129905162013752,STAT COMPUTING WITH R: Statistical Computing with R 0.17153149279847918,STAT FOR ECONOMISTS 0.2959770079870639,INTRO BUSINESS STAT 0.36096432859740835,INTERNET & WEB SYSTEMS 0.10415648216035274,INTERNET & WEB SYSTEMS 0.10415648216035274,QUANTITATIVE METHODS I 0.15819888934087672,RES METHODS/PRAC IN IR 0.14677375087897357,
BAYESIAN METH & COMP:	INTRO BUSINESS STAT 0.10021914288365671,DATA ANALY & STAT COMP: Data Analytics and Statistical Computing 0.17469077627661422,DES&DEV WEB-BASED PROD: DESIGN & DEVELOPMENT OF WEB-BASED PRODUCTS AND SERVICES 0.11430100238174494,DATA ANALY & STAT COMP: Data Analytics and Statistical Computing 0.17469077627661422,CAPSTONE: MODELING: MODELING SOCIAL PHENOMENA 0.11457813667407038,MACRO-MODELING 0.11237346086735152,Digital Marketing, Social Media and E-Commerce 0.12201368445348817,STATISTICAL METHODOLOGY 0.10447947162477754,INTRO TO PROB & STAT 0.11149220285642109,STAT FOR ECONOMISTS 0.12990515182567133,INTRO TO PROB & STAT 0.11149220285642109,APPL PROB MODELS MKTG 0.10814070046215137,PROB&STATS FOR BIOT 0.12257623915337815,INTRO BUSINESS STAT 0.10021914288365671,BIOL DATA SCIENCE I 0.1412441247306162,INTRO SCIENTIFIC COMP 0.18453634134365454,MULTISCLE MDLNG/BIO SYS 0.15640700296720028,APPL PROB MODELS MKTG 0.10814070046215137,BUSINESS COMP LANGUAGES 0.13498421336288643,
GLOBAL BUSINESS:	
KANT II: From Enlightenment towards perpetual peace:  Kant's political philosophy:	TOPICS IN ETHICS 0.10956916812152509,ETHICS IN THE PROFESSION: BUSINESS ETHICS 0.12570221268391424,SURVEY OF ETHICAL THEORY 0.15445026286771227,BEGINNING YIDDISH I 0.11042912822044483,
INTRO TO COMPUTATIONAL BIOLOGY & BIOLOGICAL MODELING:	DATA ANALY & STAT COMP: Data Analytics and Statistical Computing 0.1292275016506628,INT TO NONP & LOGLIN MOD 0.10584928592959053,MACHINE PERCEPTION 0.10999041796404437,DATA ANALY & STAT COMP: Data Analytics and Statistical Computing 0.1292275016506628,ANALYSIS OF ALGORITHMS 0.2109035845013634,PROG LANG AND TECH II 0.1665895900402627,ENGR APPLIC OF STATISTIC 0.10691330588217797,SURVEY RESEARCH & DESIGN 0.10629761683754103,DATA SCIENCE 0.11837268138367485,INTERACTVE COMP GRAPHICS 0.11536801962366444,BIOL DATA SCIENCE I 0.10207673415080774,BIOMED IMAGE ANALYSIS 0.10382466938891144,INTR TO OPTIMIZ THEORY 0.10243858061479545,INTRO MACHINE LEARNING 0.20118796054515606,ESTIMATION & DETEC THRY 0.13919172679492503,THEORETICAL NEUROSCIENCE 0.10086576092883433,INTRO BUSINESS STAT 0.10482161951850259,DES&DEV WEB-BASED PROD: DESIGN & DEVELOPMENT OF WEB-BASED PRODUCTS AND SERVICES 0.10552339801211968,MODERN REGRESSION 0.11028351711008999,MOLEC PHYSIOL&CELL ENGR 0.14622109927639787,ARTIFICIAL INTELLIGENCE 0.11818184199831515,ADVANCED CELL BIOLOGY 0.13732734566638563,INTRO TO ALGORITHMS 0.1722240246701241,ENGR APPLIC OF STATISTIC 0.10691330588217797,THEORETICAL NEUROSCIENCE 0.10086576092883433,INTRO MACHINE LEARNING 0.20118796054515606,STAT FOR ECONOMISTS 0.162522981320794,ALGORITHMS & COMPUTATION 0.2766802827062492,APPLIED ECONOMETRICS II 0.11027609093724439,BIOMED IMAGE ANALYSIS 0.10382466938891144,INTRO BUSINESS STAT 0.10482161951850259,THEORETICAL NEUROSCIENCE 0.10086576092883433,PROGRAMMING PARADIGMS 0.11418652797292311,
Religion & Visual Image: Seeing is Believing:	FACING AMERICA 0.1008412254133991,PHIL & VISUAL PERCEPTION: Hallucinations, Illusions, and Knowledge 0.12163555961353525,MEDIA AND RELIGION 0.1088606490608997,ISLAM IN MODERN WORLD 0.15307122370214032,ART, DESIGN AND DIGITAL CULTURE 0.15502790245444792,EYE, MIND AND IMAGE 0.1402738553155549,ART, DESIGN AND DIGITAL CULTURE 0.15502790245444792,UNDERGRAD METHODS SEM 0.10760878305510388,ART, DESIGN AND DIGITAL CULTURE 0.15502790245444792,PREHISTORY - RENAISSANCE: INTRO TO WESTERN ART 0.11454112206321403,INTRO VIS CULT ISLAM WLD 0.1558733007587577,VISUAL NARRATIVE 0.12150372597008349,INTRO VIS CULT ISLAM WLD 0.1558733007587577,
INTRO TO PROB & STAT:	STAT FOR ECONOMISTS 0.12967407259637115,PROB&STATS FOR BIOT 0.34665626657289067,PROBABILITY 0.36374481116402047,ANAL METH ECON, LAW MED 0.12592850637740458,INTRODUCTION TO QUANTITATIVE METHODS FOR POLICY ANALYSIS 0.10255458422196449,PROBABILITY 0.36374481116402047,BIOL DATA SCIENCE I 0.2577347309123204,BAYESIAN METH & COMP 0.11149220285642109,INTRODUCTORY STATISTICS 0.11346395584102895,DISCRETE PROB & STAT INF 0.13887594881290474,COMB ANAL & GRAPH THRY 0.11536848013886034,INTRODUCTORY STATISTICS 0.11346395584102895,
VIPER SEMINAR II: Vagelos Integrated Program in Energy Research (VIPER) Seminar II:	THE POLITICS OF GOVERNMENT IN THE WASHINGTON COMMUNITY 0.10996813172704495,RES METHODS/PRAC IN IR 0.1675002239121082,RESEARCH METHODS IN SOCIAL ANTHROPOLOGY 0.13789273302712773,RESEARCH METHODS IN SOCIAL ANTHROPOLOGY 0.13789273302712773,ETHICS IN THE PROFESSION: BUSINESS ETHICS 0.12148206624485379,SURVEY RESEARCH & DESIGN 0.1157564782583876,DATA SCIENCE 0.1354216274584341,QUANTITATIVE RESEARCH DESIGN AND METHODS 0.14446439555804363,VIPER SEMINAR: Vagelos Integrated Program in Energy Research (VIPER) Seminar, Part I 0.46603373084961813,RESEARCH/INQUIRY-BASED SERVICE RESIDENCY 0.10423455034437804,QUANTITATIVE RESEARCH DESIGN AND METHODS 0.14446439555804363,GIS APPLICATIONS IN SOCIAL SCIENCE 0.10039622449540331,URBAN RESEARCH METHODS 0.1439593153092226,INTERMED FREN:ACCELERATD 0.10345359036963665,HSOC SEMINAR: Research Seminar Health and Society 0.15261236197271702,SENIOR SEMINAR 0.13677656321499804,FIELD METH OF SOC RES 0.2140932292264574,GIS APPLICATIONS IN SOCIAL SCIENCE 0.10039622449540331,INTRODUCTION TO RESEARCH METHODS AND DESIGN 0.13025196014591311,ELECTRONIC LIT SEMINAR: COPYRIGHT AND CULTURE 0.11433301897503338,ELECTRONIC LIT SEMINAR: MEDIA FANDOM 0.11433301897503338,RESEARCH SEMINAR 0.14085891602384012,RESEARCH/INQUIRY-BASED SERVICE RESIDENCY 0.10423455034437804,SCIENTIFIC INQUIRY FOR EVIDENCE-BASED PRACTICE 0.10617660084843657,LABORATORY 0.12633454313491088,QUANTITATIVE RESEARCH DESIGN AND METHODS 0.14446439555804363,ELECTRONIC LIT SEMINAR: ENVIRONMENTAL MEDIA 0.11433301897503338,RESEARCH SEMINAR 0.14085891602384012,Environmental Studies Research Seminar for Juniors 0.288587951535949,Introduction to Sociological Research 0.24834810547437136,TOPICS IN ETHICS 0.15515573660437257,URBAN RESEARCH METHODS 0.18967608580566067,DOING RESEARCH: DOING RESEARCH: QUALITATIVE METHODS AND RESEARCH DESIGN 0.2606433954120749,Introduction to Sociological Research 0.2557487005696231,INTRO SOC RESEARCH 0.2557487005696231,SENIOR SEMINAR 0.13677656321499804,QUANTITATIVE METHODS II 0.12018079873231194,JUNIOR RESEARCH SEMINAR:  CANTERBURY TALES 0.11573402330148296,RES METHODS/PRAC IN IR 0.1675002239121082,
INTL POL ECON BUS ENVIRN:	
BYZANTINE ART & ARCH:	ART & CIV IN EAST ASIA 0.11103990190440455,ART, DESIGN AND DIGITAL CULTURE 0.10404670215212128,HELL & ROM ART/ARTIFACT 0.13585558077194246,ART, DESIGN AND DIGITAL CULTURE 0.10404670215212128,RENAISSANCE-CONTEMPORARY 0.15667936058188486,UNDERGRAD METHODS SEM 0.1298676562483495,RENAISSANCE-CONTEMPORARY 0.15667936058188486,ART, DESIGN AND DIGITAL CULTURE 0.10404670215212128,PREHISTORY - RENAISSANCE: INTRO TO WESTERN ART 0.15798209662040721,VISUAL NARRATIVE 0.10002726253167858,
ART, DESIGN AND DIGITAL CULTURE:	GRAPHIC DESIGN WITH CREATIVE TECHNOLOGIES 0.21357308591455393,DIGITAL PHOTOGRAPHY 0.12021035273120985,MEDICAL DEVICES 0.10262099517802212,DESIGN FUNDAMENTALS I 0.13493297487193356,ART OF THE WEB 0.1727681781197131,FACING AMERICA 0.11526946223974312,INTEGRATIVE DESIGN STUDIO: BIOLOGICAL DESIGN 0.10809821011391894,Religion & Visual Image: Seeing is Believing 0.15502790245444792,ADVANCED DESIGN 0.10560000694533957,PRODUCING EPHEMERA: LETTERPRESS, RISOPGRAPH, INKJET AND XEROX 0.10538819117818744,DIGITAL PHOTOGRAPHY 0.12021035273120985,VISUALIZATION II 0.17355695553071823,RESEARCH EXP PERCEPTION 0.13274951245441857,DRAWING INVESTIGATIONS 0.11958817183227766,CLAY PRACTICES 0.13395146061420687,CLAY PRACTICES 0.13395146061420687,BYZANTINE ART & ARCH 0.10404670215212128,EYE, MIND AND IMAGE 0.10051465633453124,UNDERGRAD METHODS SEM 0.18131951541406577,INTEG COMP-AIDED DESIGN 0.10383750664535091,BYZANTINE ART & ARCH 0.10404670215212128,VISUAL NARRATIVE 0.28849841975646207,SOC. OF MEDIA & POP CULT: Sociology of Media and Popular Culture 0.13648139334819945,DESIGN PROCESSES 0.10009738067175136,LANGUAGE OF DESIGN 0.15441444440840071,RENAISSANCE-CONTEMPORARY 0.1524227975139466,WHAT IS AN IMAGE? 0.17603181108655883,PHOTOGRAPHIC THINKING 0.1196807827719761,SOC. OF MEDIA & POP CULT 0.13648139334819945,ART OF THE WEB 0.1727681781197131,DESIGN FUNDAMENTALS I 0.13493297487193356,MEDICAL DEVICES 0.10262099517802212,ART OF THE WEB 0.1727681781197131,RENAISSANCE-CONTEMPORARY 0.1524227975139466,PREHISTORY - RENAISSANCE: INTRO TO WESTERN ART 0.13953646071037404,INTRO VIS CULT ISLAM WLD 0.1454812833200537,INTRO VIS CULT ISLAM WLD 0.1454812833200537,
ELEMENTARY GERMAN II:	ELEM TURKISH II 0.6078928826765538,INTERMEDIATE GERMAN II 0.2251039737354084,ELEMENTARY LATIN I 0.14638031140384208,ACCELERATED INTERMD GRMN 0.22657223436362256,ADVANCED PROFICIENCY II 0.11713194141940778,INTERMEDIATE YIDDISH II 0.12212539408577965,ADVANCED PROFICIENCY II 0.11713194141940778,INTERMED VIETNAMESE II 0.10084592222230868,ACCELERATED INTERMD GRMN 0.22657223436362256,INTERMEDIATE GERMAN I 0.2448264534725838,INTERMEDIATE GERMAN I 0.2448264534725838,INTERMEDIATE RUSSIAN I 0.10952884259837471,ELEMENTARY TURKISH I 0.26825521393493035,INTERMED INDONESIAN II 0.11143566191847895,ADVANCED SPANISH 0.10173603109697717,ELEMENTARY TURKISH I 0.26825521393493035,ELEMENTARY KOREAN II 0.15059834312479606,ADVANCED SPANISH 0.10173603109697717,ELEMENTARY TURKISH I 0.26825521393493035,
Race and Gender in Global Science:	Politics, Groups and Identities 0.11065303810035071,RACE, SCIENCE & JUSTICE 0.19043364718205635,FEMINIST ETHNOGRAPHY 0.11065404791892501,INTRO TO QUEER STUDIES: Introduction to Queer Studies 0.10613797583182696,FEMINIST ETHNOGRAPHY 0.11065404791892501,
INTRO TO FOLKLORE:	GREAT STORY COLLECTIONS 0.10728712352713517,FOLKLORE AND SEXUALITY 0.11421431788261767,BEGINNING YIDDISH II 0.1453028124345047,BEGINNING YIDDISH II 0.1453028124345047,JEWISH FOLKLORE 0.10734809724294946,JEWISH FOLKLORE 0.10734809724294946,INTRO TO FOLKLORE 0.8662460469579143,ANCIENT CIVS OF THE WRLD 0.15098684260956236,JEWISH FOLKLORE 0.10734809724294946,WRITING SEMINAR IN ANTH: GLOBAL DEVELOPMENT &NGOS 0.1355762231669009,WRITING SEMINAR IN ANTH: PHILANTHROPY/DISCONTENTS 0.1355762231669009,JEWISH FOLKLORE 0.10734809724294946,GREAT TRANSFORMATIONS 0.13826094180951307,GREAT TRANSFORMATIONS 0.13826094180951307,
INTRO BUSINESS STAT:	DATA ANALY & STAT COMP: Data Analytics and Statistical Computing 0.36096432859740835,INTRODUCTORY STATISTICS 0.20335842061530363,INT TO NONP & LOGLIN MOD 0.14267112856418235,DATA ANALY & STAT COMP: Data Analytics and Statistical Computing 0.36096432859740835,DATABASE & INFO SYSTEMS 0.10877694261047728,BAYESIAN METH & COMP 0.10021914288365671,QUANTITATIVE METHODS I 0.24798685145002303,DATABASE & INFO SYSTEMS 0.10877694261047728,INTRO TO COMPUTATIONAL BIOLOGY & BIOLOGICAL MODELING 0.10482161951850259,ENGR APPLIC OF STATISTIC 0.2571378893169001,INTRODUCTORY STATISTICS 0.3221115242462455,DATA SCIENCE 0.1645444873201309,DISCRETE PROB & STAT INF 0.20850056601929576,STATISTICAL METHODOLOGY 0.2978449527587013,INTRODUCTORY STATISTICS 0.3221115242462455,GIS APPLICATIONS IN SOCIAL SCIENCE 0.12031004933197557,PROB&STATS FOR BIOT 0.15669706147948048,STATISTICAL INFERENCE 0.10759909127034654,MODERN DATA MINING 0.11980766013766897,BIOL DATA SCIENCE I 0.24238087951946966,GIS APPLICATIONS IN SOCIAL SCIENCE 0.12031004933197557,DATABASE & INFO SYSTEMS 0.10877694261047728,APPLIED REG & ANALY VAR 0.12548645642972395,ESTIMATION & DETEC THRY 0.12306655334400564,APPLIED ECONOMETRICS I 0.14889144809345656,INTR TO SPATIAL ANALYSIS 0.14597274224166712,SOCIAL STATISTICS 0.13593057984193896,INTRODUCTION TO QUANTITATIVE METHODS FOR POLICY ANALYSIS 0.2191750232674391,MODERN REGRESSION 0.11618645005376069,ADV STAT FOR MGMT 0.11980766013766897,ENGR APPLIC OF STATISTIC 0.2571378893169001,DATABASE & INFO SYSTEMS 0.10877694261047728,STAT FOR ECONOMISTS 0.3529865141094815,PROBABILITY 0.1270145793814425,PROBABILITY 0.1270145793814425,QUANTITATIVE METHODS II 0.14812437051724836,QUANTITATIVE METHODS I 0.24798685145002303,
HISTORY OF TECHNOLOGY:	TOPICS IN ETHICS 0.10667061255086178,COMP CAPITALIST SYSTEMS 0.12408145690755426,ENVIRONMENTAL HISTORY 0.15802583064714418,COMP CAPITALIST SYSTEMS 0.12408145690755426,E-HEALTH:BUSINESS MODELS: E-Health: Business Models and Impact 0.10508901231416094,PHILOSOPHY OF SPACE AND TIME 0.11258195358587313,PHILOSOPHY OF SPACE AND TIME 0.11258195358587313,PHILOSOPHY OF SPACE AND TIME 0.11258195358587313,
MASTERPIECES 19C RUS LIT:	ADVANCED RUSS CONV/COMP 0.11020546046501421,19C:ROMANTICS & REALISTS 0.10019132214010575,WRITING FOR CHILDREN: WRITING FOR YOUNG ADULTS 0.11917275957199151,
ROMANCE:	TPCS: CLASSICISM & LIT: Classical Epic and Medieval Romance 0.12525436362058112,
ANTHROPOLOGY OF MUSEUMS:	COLONIAL OBJECTS, COMMODITIES, BODIES: ARCH OF LATIN AMERICA SINCE 1492 0.10582648074762223,ETHICS, ARCHAEOLOGY & CULTURAL HERITAGE 0.1287130609486683,POLICY,MUSEUMS&CUL HERIT 0.3169736941648579,
INTRO HIST-COMP LING:	AFRO AMER HIST 1876-PRES 0.15625254327944796,
AFRICA IN WORLD HISTORY:	
ROMAN SCULPTURE:	THE ARTS OF CHINA 0.1308972796768341,PROBLEMS GREK/RMN HIST 0.1164773943129877,THE ARTS OF CHINA 0.1308972796768341,TOPOG & MON OF ANC ROME 0.1297746105587826,HELL & ROM ART/ARTIFACT 0.19791847891831438,ANCIENT ROME 0.1851217673160873,Problems in Roman Imperial History 0.1164773943129877,Jewish Diaspora in the Roman Empire 0.12766544560496756,
SEPARATION PROCESSES:	COMP CAPITALIST SYSTEMS 0.10085415584251493,COMP CAPITALIST SYSTEMS 0.10085415584251493,
QUANTITATIVE METHODS I:	DATA ANALY & STAT COMP: Data Analytics and Statistical Computing 0.15819888934087672,INT TO NONP & LOGLIN MOD 0.13637882369102353,DATA ANALY & STAT COMP: Data Analytics and Statistical Computing 0.15819888934087672,ENGR APPLIC OF STATISTIC 0.1193550945964476,INTRODUCTORY STATISTICS 0.14495093163959671,DISCRETE PROB & STAT INF 0.14623625421584052,STATISTICAL METHODOLOGY 0.12378005055515078,INTRODUCTORY STATISTICS 0.14495093163959671,GIS APPLICATIONS IN SOCIAL SCIENCE 0.11622005071851424,TOPICS IN LOGIC 0.1358680529162961,PROB&STATS FOR BIOT 0.14125109462376564,STATISTICAL INFERENCE 0.13128835070006392,BIOL DATA SCIENCE I 0.18756015451463745,GIS APPLICATIONS IN SOCIAL SCIENCE 0.11622005071851424,APPLIED REG & ANALY VAR 0.10122460991162661,INTRO BUSINESS STAT 0.24798685145002303,INTRODUCTION TO QUANTITATIVE METHODS FOR POLICY ANALYSIS 0.11239276437910725,ENGR APPLIC OF STATISTIC 0.1193550945964476,Introduction to Sociological Research 0.15464285748693635,STAT FOR ECONOMISTS 0.24217124261082376,EXP METHOD FOR LINGUISTS 0.10138576371533953,Introduction to Sociological Research 0.1592511035230699,INTRO BUSINESS STAT 0.24798685145002303,INTRO SOC RESEARCH 0.1592511035230699,FORMAL LOGIC I 0.2527807410067015,FORMAL LOGIC I 0.2527807410067015,QUANTITATIVE METHODS II 0.1534158564152111,
ETHNOGRAPHY AND MEDIA FOR SOCIAL JUSTICE:	VIDEO II 0.10240737282000205,INTRO CULTURAL ANTHRO 0.1092530356932856,RES METHODS/PRAC IN IR 0.10485200867942349,RESEARCH METHODS IN SOCIAL ANTHROPOLOGY 0.11328219902755846,RESEARCH METHODS IN SOCIAL ANTHROPOLOGY 0.11328219902755846,Introduction to Sociological Research 0.10289368407537915,URBAN REAL ESTATE ECON 0.11247091747429648,URBAN RESEARCH METHODS 0.11656053686468594,PERSPECTIVES ON URBAN POVERTY 0.17116443387962912,URBAN RESEARCH METHODS 0.1692975207131285,DOING RESEARCH: DOING RESEARCH: QUALITATIVE METHODS AND RESEARCH DESIGN 0.10212191479288626,Introduction to Sociological Research 0.10595984192766532,INTRO SOC RESEARCH 0.10595984192766532,EXPANDED DOCUMENTARY 0.10162361490410046,THE CHILD IN THE CITY 0.11467058179659664,VIDEO II 0.10240737282000205,THE ROLE OF WATER IN URBAN SUSTAINABILITY AND RESILIENCY 0.1183564785880666,PHILADELPHIA 1700-2000 0.10739761606228297,RES METHODS/PRAC IN IR 0.10485200867942349,
ENG ENTREPRENEURSHIP I:	VENT CAP & FNCE INNOVAT 0.13314384576507618,ENTREPRENEURSHIP 0.11409012966845399,E-HEALTH:BUSINESS MODELS: E-Health: Business Models and Impact 0.10775892500494981,OPS STRATEGY PRACTICUM: Penn Global Seminar - Israel (PGS 013) 0.12092057302391412,COMPETITIVE STRATEGY 0.13174737171512552,ENG ENTREPRENEURSHIP II 0.24718605104515287,ENTREPRENEURSHIP 0.10133798726782002,COMPETITIVE STRATEGY 0.13174737171512552,ENTREPRENEURSHIP 0.10133798726782002,INT PROP&BUS LAW FOR ENG 0.1704689524882618,VEN CAPITAL & ENT MGMT 0.10890130604492317,VENTURE CAP & ENT MGMT 0.13725733148527858,HC ENTREPRENEURSHIP 0.13377752800307047,
BIOENG CASE STUDIES:	INFO & BUS TRANSFRM 0.10688476761262994,INTRO TO MED ANTHRO 0.11950461059440137,MEDICAL DEVICES 0.11405368787178748,INTRO TO MED ANTHRO 0.11950461059440137,MEDICAL DEVICES 0.129903302529888,CASE STUDY: CANCER 0.13145376666461592,E-HEALTH:BUSINESS MODELS: E-Health: Business Models and Impact 0.10778355649676798,MEDICAL DEVICES 0.11405368787178748,SPAN FOR MED PROF INT I 0.10535678286433868,CASE STUDY: CANCER 0.13145376666461592,GLOBAL HLTH: ANTH PERSP 0.11097683294744501,
VIDEO I:	VIDEO II 0.19994026546255775,ADVANCED DIGITAL PHOTO 0.10114079743228435,COMPUTER ANIMATION 0.19859065098240739,ADVANCED FICTION WRITING 0.14297996855819564,VIDEO I 0.11972033440537198,NARRATIVE ACROSS CULTURES 0.11017249076766031,PHOTOGRAPHY PRACTICES 0.11353710001796946,CINEMA PRODUCTION 0.21097489562825525,ADVANCED DIGITAL PHOTO 0.10114079743228435,VIDEO I 0.12205271377380715,NARRATIVE ACROSS CULTURES 0.11017249076766031,COMPUTER ANIMATION 0.19859065098240739,VIDEO I 0.12205271377380715,VIDEO I 0.12205271377380715,DISPERSIVE LENS 0.12903654291804698,NARRAT ACROSS CULTURES 0.11017249076766031,VIDEO II 0.19994026546255775,PHOTOGRAPHY PRACTICES 0.11353710001796946,FREEDOM OF EXPRESSION 0.11681520387217705,IMAGE AND SOUND EDITING 0.16590284038800687,NARRAT ACROSS CULTURES 0.11017249076766031,
INDEPENDENT STUDY: Global Local Independent Study:	Presenting the Past: The Middle East Galleries at Penn Museum 0.17720142136025802,CONTEMP AMER CITY/CHALLG: The Contemporary American City and its Challenges 0.13535271549825834,RESEARCH/INQUIRY-BASED SERVICE RESIDENCY 0.21241551675647097,CLINICAL FIELDWORK FOR NURSE ANESTHESIA PRACTICE II 0.16338995578348955,RACE CRIME & PUNISHMENT 0.13535271549825834,SENIOR SEMINAR PROJECT 0.10941362201670717,GLOBALIZATION 0.13535271549825834,BIOCHEMISTRY RESEARCH 0.10972449730453257,ENVS SEMINAR: ENVIRONMENTAL POLICY 0.11612262711915466,RESEARCH/INQUIRY-BASED SERVICE RESIDENCY 0.21241551675647097,COMMUNITY MATH TEACH PRO 0.11345649746040642,
GLOBAL HLTH: ANTH PERSP:	PHARMA & GLOBAL HEALTH 0.2110693573259051,PUBLIC POLICY PROCESS 0.1058496349009931,HEALTH OF POPULATIONS 0.12941317565242866,INTRO TO MED ANTHRO 0.10410696088916668,INTRO TO MED ANTHRO 0.10410696088916668,BIOENG CASE STUDIES 0.11097683294744501,Community Based Environmental Health 0.11380569753825082,SELECTED TOPICS IN MED: INFECTIOUS DISEASES 0.10986830180904339,PHARMA & GLOBAL HEALTH 0.2110693573259051,PSYCHOLOGICAL AND SOCIAL DIVERSITY IN HEALTH AND WELLNESS 0.10887866174222882,FOUNDA OF PUBLIC HEALTH 0.14281211010998757,BIOLOGY OF HUMAN DISEASE 0.10227272640160284,RACE, GENDER, CLASS AND THE HISTORY OF AMERICAN HEALTH CARE 0.1047442263769804,PUBLIC POLICY AND THE NATION'S HEALTH 0.17573492708721788,
THE EUROPEAN UNION:	LANGUAGE AND THOUGHT 0.11120210324374898,FOUNDATIONS OF EUROPEAN THOUGHT: FROM ROME TO THE RENAISSANCE 0.10076846632283375,SEX AND POWER 0.10476613161467833,
INTERMEDIATE SPANISH II:	CONTEMPORARY COLOMBIAN LITERATURE:  A HISTORY OF VIOLENCE AND REDEMPTION 0.1422166001168199,ADVANCED WRITING PROJECTS IN THE ARTS AND POPULAR CULTURE 0.11762121722491498,Gabriel Garcia Marquez and Latin American Literature 0.1422166001168199,Food in Latin American History and Culture 0.1422166001168199,MLA Proseminar: Looking for Don Quixote 0.1422166001168199,ACCELERATED INTERMD GRMN 0.10161654291239539,ACCEL INTERMEDIATE SPAN 0.2985583664975507,ELEMENTARY SPANISH II 0.23752413483144222,ELEM VIETNAMESE I 0.15465502096662773,HIST OF SPANISH LANGUAGE 0.14432855387223373,INTERMED FREN:ACCELERATD 0.13574313047699713,ELEMENTARY POLISH I 0.11349255965996496,BUSINESS SPANISH I 0.1896282435015058,ELEMENTARY ITALIAN I 0.13358968957169415,INTERMEDIATE GERMAN II 0.11324765655157835,ADV SPANISH SYNTAX 0.26703651570621884,ACCELERATED INTERMD GRMN 0.10161654291239539,ELEMENTARY SPANISH I 0.23845862661968262,SPAN FOR MED PROF INT I 0.19734978774862227,SPAN FOR MED PROF INT 2 0.2563190138789728,INTRODUCTION TO HISPANIC LINGUISTICS 0.17593584481023083,ELEMENTARY POLISH I 0.11349255965996496,ELEMENTARY SPANISH 0.2654179871469731,Spanish Surrealism:  The Works of Salvador Dali 0.15113826244899245,ADVANCED SPANISH 0.15021334299837816,ADVANCED SPANISH 0.15021334299837816,STORIES WE TELL: LATIN AMERICA AND THE SHORT STORY 0.1422166001168199,Telling It All: Women as Storytellers in Hispanic Fiction 0.1422166001168199,
